STORE_NUM,STORE_NAME,ADDRESS_CITY_NAME,ADDRESS_STATE_PROV_CODE,MSA_CODE,SEG_VALUE_NAME,PARKING_SPACE_QTY,SALES_AREA_SIZE_NUM,AVG_WEEKLY_BASKETS
389,SILVERLAKE,ERLANGER,KY,17140,MAINSTREAM,408,46073,24767
2277,ANDERSON TOWNE CTR,CINCINNATI,OH,17140,UPSCALE,NA,81958,54053
4259,WARSAW AVENUE,CINCINNATI,OH,17140,VALUE,NA,48813,31177
6379,KINGWOOD,KINGWOOD,TX,26420,MAINSTREAM,NA,50237,20620
6431,AT WARD ROAD,BAYTOWN,TX,26420,VALUE,350,43698,24322
13853,RICHARDSON,RICHARDSON,TX,19100,MAINSTREAM,NA,53586,15787
13859,MCKINNEY,MCKINNEY,TX,19100,MAINSTREAM,NA,47824,15345
15755,KROGER JUNCTION S/C,PASADENA,TX,26420,VALUE,351,34373,18291
23327,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,NA,50722,30258
23345,FRISCO,FRISCO,TX,19100,UPSCALE,NA,46369,21947
25001,PINEWOOD,DAYTON,OH,19380,VALUE,351,34177,18035
26983,DAYTON,DAYTON,OH,19380,VALUE,NA,48782,31461
623,HOUSTON,HOUSTON,TX,26420,MAINSTREAM,NA,46930,36741
2541,NORWOOD,ARLINGTON,TX,19100,MAINSTREAM,300,29231,11019
4489,SWEETWATER PLAZA,SUGAR LAND,TX,26420,UPSCALE,NA,49030,21345
10019,AT EASTEX FRWY,HOUSTON,TX,26420,VALUE,221,35675,19068
13609,VANDALIA,VANDALIA,OH,19380,MAINSTREAM,NA,55663,21232
15531,GOSHEN,GOSHEN,OH,17140,VALUE,NA,33667,13344
17599,KEARNEY,MESQUITE,TX,19100,VALUE,300,36994,15134
19265,LATONIA,COVINGTON,KY,17140,MAINSTREAM,NA,55685,31578
21485,HOUSTON,KATY,TX,26420,MAINSTREAM,NA,46369,26472
26981,SPRINGFIELD,SPRINGFIELD,OH,44220,MAINSTREAM,NA,42081,25122
4503,ROCKWALL,ROCKWALL,TX,19100,MAINSTREAM,NA,56230,25289
2513,HOUSTON,HOUSTON,TX,26420,UPSCALE,NA,61833,32423
19523,DUNCANVILLE,DUNCANVILLE,TX,19100,VALUE,400,48594,24568
19533,DENTON,DENTON,TX,19100,MAINSTREAM,NA,48330,28243
25021,HAMILTON,HAMILTON,OH,17140,VALUE,1441,62961,34191
367,15TH & MADISON,COVINGTON,KY,17140,VALUE,196,24721,12707
2505,DICKINSON VILLAGE,DICKINSON,TX,26420,MAINSTREAM,319,41644,14460
6187,ST. MARYS,SAINT MARYS,OH,47540,MAINSTREAM,NA,55474,20015
8041,LANDEN,MAINEVILLE,OH,17140,MAINSTREAM,1200,49074,14849
13837,MAGNOLIA,MAGNOLIA,TX,26420,MAINSTREAM,NA,49164,27262
15765,CYPRESS TOWN CENTER,HOUSTON,TX,26420,MAINSTREAM,NA,49068,25351
17615,SUGARLAND,SUGAR LAND,TX,26420,MAINSTREAM,NA,48632,32491
21479,WOOD FOREST S/C,HOUSTON,TX,26420,VALUE,NA,49104,29436
